layer,newtonian_belief,cubic_belief
0,0.4972518453636654,0.5027481546363346
1,0.4997239123647743,0.5002760876352257
2,0.487259284219022,0.512740715780978
3,0.4866812070242348,0.5133187929757652
4,0.4873379669966943,0.5126620330033057
5,0.46248661781856093,0.5375133821814391
6,0.4660049678094529,0.5339950321905471
7,0.44438015682648324,0.5556198431735168
8,0.4300616955740689,0.5699383044259311
9,0.41139418899862046,0.5886058110013795
10,0.3856665833062616,0.6143334166937384
11,0.38829305287369,0.61170694712631
12,0.3951196775024629,0.6048803224975371
13,0.38458375259030986,0.6154162474096901
14,0.37715100623039155,0.6228489937696084
15,0.36482195794168604,0.635178042058314
16,0.3431683923198783,0.6568316076801217
17,0.3261482687750582,0.6738517312249418
18,0.27804833601254997,0.72195166398745
19,0.23894752519402418,0.7610524748059758
20,0.18758602922057122,0.8124139707794288
21,0.14539010629570037,0.8546098937042996
22,0.11099535768292179,0.8890046423170782
23,0.06930377975272917,0.9306962202472708
24,0.037858530381084,0.962141469618916
25,0.026298431819637536,0.9737015681803625
26,0.011394236261895174,0.9886057637381048
27,0.00760940364709084,0.9923905963529092
28,0.002945504077467298,0.9970544959225327
29,0.0009803497792562066,0.9990196502207438
30,0.0001488535685016945,0.9998511464314983
31,6.196664710578226e-05,0.9999380333528942
